source_schema_version,panel,row_type,dataset,dataset_id,method,result_layer,fold,source_key,metric,metric_direction,value,sd,n_records,n_effect_pairs,n_valid_effect_pairs,n_plotted,panel_c_seed,display_effect_min,display_effect_max,effect_formula,variance_ddof,folds,protocol_id,configuration,workflow_order,workflow_step,split_artifact_id,truth_artifact_id,prediction_artifact_id,prediction_audit_artifact_id,label_artifact_id,locations_artifact_id,detail_artifact_id,source_artifact_id
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,stPlus,raw_identity,0,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.stPlus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,stAI,raw_identity,0,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.stAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stAI/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stAI/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.GeneSPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Tangram,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.Tangram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/Tangram/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/Tangram/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,TransImp,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.TransImp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/TransImp/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/TransImp/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,SpaIM,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.SpaIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaIM/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaIM/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,SpaGE,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.SpaGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaGE/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaGE/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,stPlus,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.stPlus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,stAI,raw_identity,1,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold1.stAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stAI/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stAI/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.GeneSPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Tangram,raw_identity,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.Tangram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/Tangram/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/Tangram/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,TransImp,raw_identity,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.TransImp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/TransImp/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/TransImp/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,SpaIM,raw_identity,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.SpaIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaIM/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaIM/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,SpaGE,raw_identity,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.SpaGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaGE/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/SpaGE/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
protocol_a_figure6_source_v2,"B,C",formal_effect_input,seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,stPlus,raw_identity,2,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold2.stPlus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,NA,NA,NA,NA,NA,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/imputed_expression.npy,repository/results/protocol_a_full_rerun_20260711/baselines/stPlus/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/adapter_run_audit.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,archive/processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/Locations.txt,NA,NA
