dataset,dataset_id,role,fold,truth_path,metadata_path,test_gene_idx_path,gene_names_path,shape,dtype,truth_sha256,truth_bytes,test_gene_idx_sha256,source_full_truth_sha256,normalization
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,0,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold0/truth.npz,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold0/metadata.json,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold0/test_gene_idx.npy,ground_truth/Cell2location_mouse_brain_ST8059048_shared12819/gene_names.txt,"[2987,2564]",float32,4d91c0702160edcb3e4040b60d3c5715e126c4d60deb3a6053eadc0678290ec6,9666676,42132cf916c0a08eee0ac52bb15ddbae937f039dad0d804ddf1b9dd549a97cd8,63b1aa26cf647e668aba91d1997d2d66abf75895ada293c16931ba780de7a946,log1p_cpm_with_inner_train_gene_library_size
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,1,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold1/truth.npz,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold1/metadata.json,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold1/test_gene_idx.npy,ground_truth/Cell2location_mouse_brain_ST8059048_shared12819/gene_names.txt,"[2987,2564]",float32,a778e7a4a909cd4201e69e1563d4e38f5284ffccc61b892229f00bac7368996c,9725209,c93d5ceafd8a0113441c5b57ba7410060f22ab7eb635b1b4baf6890b8402eb81,211c764b8b31720d92752ecc1fe7242b0ca3c1d9d94c1b9d0ada9109b3e7a0b2,log1p_cpm_with_inner_train_gene_library_size
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,2,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold2/truth.npz,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold2/metadata.json,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold2/test_gene_idx.npy,ground_truth/Cell2location_mouse_brain_ST8059048_shared12819/gene_names.txt,"[2987,2564]",float32,8dea958d951ee9a949929af4f2da82ca00c87783aa88589dbb065fc75b0f9167,9861944,388b0c2f32a30a09cd51e187b80065e4362646d4a53ba443db77cbf7f93849fe,3b0e2662c1d22b0cfd15d5b39fae3efd41f78474f4665d4d32bd1eb944d96683,log1p_cpm_with_inner_train_gene_library_size
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,3,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold3/truth.npz,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold3/metadata.json,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold3/test_gene_idx.npy,ground_truth/Cell2location_mouse_brain_ST8059048_shared12819/gene_names.txt,"[2987,2564]",float32,9a217f0a2f364c1a7aef63d9c9367af04841e433ada18acd06bddf76897643a6,9959101,bf93b7e05806eb237fb160017302819f4014b724aa0cf5cc93b97e6126b7c19d,5a7e11b1bb3fe269e3476bed753e956cbb1371776615ef664b19cbe79909102d,log1p_cpm_with_inner_train_gene_library_size
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,4,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold4/truth.npz,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold4/metadata.json,ground_truth_protocol_a/Cell2location_mouse_brain_ST8059048_shared12819/fold4/test_gene_idx.npy,ground_truth/Cell2location_mouse_brain_ST8059048_shared12819/gene_names.txt,"[2987,2563]",float32,3cfcf4207677d291ecc9348950713bbefb8602d4708e2367f4c9cff1a7b66d57,9718742,9e94e2499f4429b3086b9be011fd8b5ba1762f33507e11202bd4d64e0ae69f73,13b4ee0592c0154b09370a0198e16c6b4a15e8cb6dab02fcac4e08ac7cb5f261,log1p_cpm_with_inner_train_gene_library_size
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,0,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/truth.npz,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/metadata.json,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/test_gene_idx.npy,ground_truth/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_names.txt,"[913,2000]",float32,4929c3a74315865a742461e4b3b34d1c1abbf1e720ff48f49263bdf9025a7db1,1404348,84d41e5e87e846e03b5e2e539dd91adac3de8b4c71f35596b0ba46a4d6233315,8e463ccd1607cf2a9cf1b6d0237ed1eeda2b7881a07a18970e9e8dfa960f8319,log1p_cpm_with_inner_train_gene_library_size
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,1,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/truth.npz,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/metadata.json,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold1/test_gene_idx.npy,ground_truth/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_names.txt,"[913,2000]",float32,f40bacf1499b1252c1c4b634cb6a646281cbb1727cb5148e67e00a5d4b63e9ed,1398831,31685efb9bb10958637520cbf0ba3549ad94beadf820f8ae56f3349b6b738748,016b1d352961d408a8e5e82b8de6bb936a2b987eb26fe12b550e7eedc565146d,log1p_cpm_with_inner_train_gene_library_size
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,2,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/truth.npz,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/metadata.json,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold2/test_gene_idx.npy,ground_truth/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_names.txt,"[913,2000]",float32,dca71d052b0f077e4990da5a5c11166a8a44ac00638cddf5505afa109bc7f4a7,1369056,aec0b83154264b04a0cd02ff49d39f69cacfc2f9ddc6554cecae2396a2a86c0c,c5d7af88258c1d5703bf3affe232e5d49b3883329f51f997799e0777582af8ba,log1p_cpm_with_inner_train_gene_library_size
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,3,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold3/truth.npz,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold3/metadata.json,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold3/test_gene_idx.npy,ground_truth/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_names.txt,"[913,2000]",float32,53648b0b8c93f0945851d9d8e167bb5d736101853ab32eb2bd00772313ada598,1383741,95890a2ef111a8f16462b80ad7ccae8385779de9381c33198b4cf49cc1d47b7b,62182b47fae3eeb70824ae402f9e5067d7dadd3d4ab46456892362921444cfea,log1p_cpm_with_inner_train_gene_library_size
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,4,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold4/truth.npz,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold4/metadata.json,ground_truth_protocol_a/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold4/test_gene_idx.npy,ground_truth/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_names.txt,"[913,2000]",float32,a8fef0e1948edffda52d8fa8c5e225b2572dc5afe53d7233f1be8d4d82e21529,1392369,8cfabe5f497843bf4ff26af39080dc531cc9d86f1c715fb78fe0d49287048b71,3159c324c441d43291acee02c850b987a711e3019bf5c8826b10715049d0d10f,log1p_cpm_with_inner_train_gene_library_size
MHPR,MHPR_current_panel,Cross-platform,0,ground_truth_protocol_a/MHPR_current_panel/fold0/truth.npz,ground_truth_protocol_a/MHPR_current_panel/fold0/metadata.json,ground_truth_protocol_a/MHPR_current_panel/fold0/test_gene_idx.npy,ground_truth/MHPR_current_panel/gene_names.txt,"[4975,31]",float32,3f08eada11091adaea8e9b287152ebacfce06d31d36b4f98681233888952eba5,250804,ed629707929131f4452d80ef755d61748a77eca26575ffab67975613a82acee2,38cb732058e19ec34b293a958d5c74d98c5846b26ed72c630500d83d4481e03b,log1p_cpm_with_inner_train_gene_library_size
MHPR,MHPR_current_panel,Cross-platform,1,ground_truth_protocol_a/MHPR_current_panel/fold1/truth.npz,ground_truth_protocol_a/MHPR_current_panel/fold1/metadata.json,ground_truth_protocol_a/MHPR_current_panel/fold1/test_gene_idx.npy,ground_truth/MHPR_current_panel/gene_names.txt,"[4975,31]",float32,ddbb85f4046c6bc146384a2edebef27e09fbcfea5bb98e36b42b919f1a933d24,244480,9e4ad9b4be9a7f00c6282edfe62bd299d16fdded750f44204f0fadbfddc53e79,456c6e215b7980710c21f41b27d8dcf3664ea21cbd286211b2f956f585e6cdeb,log1p_cpm_with_inner_train_gene_library_size
MHPR,MHPR_current_panel,Cross-platform,2,ground_truth_protocol_a/MHPR_current_panel/fold2/truth.npz,ground_truth_protocol_a/MHPR_current_panel/fold2/metadata.json,ground_truth_protocol_a/MHPR_current_panel/fold2/test_gene_idx.npy,ground_truth/MHPR_current_panel/gene_names.txt,"[4975,31]",float32,34fff79e4ce5f00a5d98b91bb264c394295ad64d535c69caf0a00ce8993a1a3b,247290,a0b1a4dbe6006bc6b05e566f3eaba86d949fa267e8d1b826c85c679aef3547ea,9dd20aaee7081ff63957eb289434284a8028c1d42ad46bbc788cb022faad3ba5,log1p_cpm_with_inner_train_gene_library_size
MHPR,MHPR_current_panel,Cross-platform,3,ground_truth_protocol_a/MHPR_current_panel/fold3/truth.npz,ground_truth_protocol_a/MHPR_current_panel/fold3/metadata.json,ground_truth_protocol_a/MHPR_current_panel/fold3/test_gene_idx.npy,ground_truth/MHPR_current_panel/gene_names.txt,"[4975,31]",float32,63317e3e4e95611e7db2d1e79e7912d1ab647b356497a19601c1f8ce2a53ae5a,236119,775f645deb4c9cffbc40b89fbb373d3472fedd26d806b37ed0317e971c1ed562,5a3df11e9859826cb0ce9080bad669e9c73e413740768596e751005c43161eea,log1p_cpm_with_inner_train_gene_library_size
MHPR,MHPR_current_panel,Cross-platform,4,ground_truth_protocol_a/MHPR_current_panel/fold4/truth.npz,ground_truth_protocol_a/MHPR_current_panel/fold4/metadata.json,ground_truth_protocol_a/MHPR_current_panel/fold4/test_gene_idx.npy,ground_truth/MHPR_current_panel/gene_names.txt,"[4975,30]",float32,761d47dde740c544d05e4529602c44ed2eac849226b3ce4b3e246b7e655bf92f,225557,9ceb30ff0c22706badf408211040c79a2c82c4452de521c612e447bf74c97224,4d6200a08e45334f89e882e48fcb35ec72c598f8f7c6ada5376b634b30b54f05,log1p_cpm_with_inner_train_gene_library_size
MVC,MVC_shared981,Cross-platform,0,ground_truth_protocol_a/MVC_shared981/fold0/truth.npz,ground_truth_protocol_a/MVC_shared981/fold0/metadata.json,ground_truth_protocol_a/MVC_shared981/fold0/test_gene_idx.npy,ground_truth/MVC_shared981/gene_names.txt,"[1549,197]",float32,823d425146ba51378f4827cd1042968b806bad888470149eaa4c7b02f710a831,197784,916ab1d647e32b41b01ac7378b786d14930caad2df261690d515184b17938a3a,9b12a3b0c416e8dcdb8f8ab95fa1a33e5c73b810221fe3235efe4b15175832a5,log1p_cpm_with_inner_train_gene_library_size
MVC,MVC_shared981,Cross-platform,1,ground_truth_protocol_a/MVC_shared981/fold1/truth.npz,ground_truth_protocol_a/MVC_shared981/fold1/metadata.json,ground_truth_protocol_a/MVC_shared981/fold1/test_gene_idx.npy,ground_truth/MVC_shared981/gene_names.txt,"[1549,196]",float32,02824542439d520e117cb6b1ff8ef9e1f577f69b1143e946c5d63bf8149de09b,204465,3423d7211f569b0bdddae7695cf2833f98b0c917d3a589878cc18667c01471b3,f33198fd5c6e08c29b3ce1ec8f4aa0f3577fe421f42a67f54fbd0c7c222b5bc5,log1p_cpm_with_inner_train_gene_library_size
MVC,MVC_shared981,Cross-platform,2,ground_truth_protocol_a/MVC_shared981/fold2/truth.npz,ground_truth_protocol_a/MVC_shared981/fold2/metadata.json,ground_truth_protocol_a/MVC_shared981/fold2/test_gene_idx.npy,ground_truth/MVC_shared981/gene_names.txt,"[1549,196]",float32,82718e3478600bae008b4036cef842267c65ba06e85c0b255cca1abca753d260,193747,e01d4b5485642bc8ad58adc78bdf5aa9b16bb30436239fa8544d9a87b5c534a2,2039b75f546ff3145b30634595b7c8dfa26579c986b8c68a6ef11e37e6599783,log1p_cpm_with_inner_train_gene_library_size
MVC,MVC_shared981,Cross-platform,3,ground_truth_protocol_a/MVC_shared981/fold3/truth.npz,ground_truth_protocol_a/MVC_shared981/fold3/metadata.json,ground_truth_protocol_a/MVC_shared981/fold3/test_gene_idx.npy,ground_truth/MVC_shared981/gene_names.txt,"[1549,196]",float32,0daeac4f8d3b368a354254d6179f76d5d3a2da382635001206a5485ea2d43160,198534,f1dce41e4d6bb34c4bca4028c3ea2f443e81f5fe92c8d43df8a5c96b2f15af0b,a9444cf3975bcf78b37fb9f14e716be9c179942efaa75a108ac1442efdd9e31e,log1p_cpm_with_inner_train_gene_library_size
MVC,MVC_shared981,Cross-platform,4,ground_truth_protocol_a/MVC_shared981/fold4/truth.npz,ground_truth_protocol_a/MVC_shared981/fold4/metadata.json,ground_truth_protocol_a/MVC_shared981/fold4/test_gene_idx.npy,ground_truth/MVC_shared981/gene_names.txt,"[1549,196]",float32,b8a8d5a8bac9212ceb5a0eb5f466b80a48cdeb7b7f47d7e5fc938175d2e269c3,197168,03481dabac99695db06f0d68c14912b633aff92de7253fbb5f4f5c94759e77d2,097326840dfea659b8dff5f0a69db98ee5ffa4a1e28546f04548124cc6825aa6,log1p_cpm_with_inner_train_gene_library_size
